run,package,name,workers,chunksize,frequency,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,cache_hits,cache_misses
0,kerchunk,open,100,4,3hr,6.218879222869873,1697729,673307,761,644,0,0,0,0,,
0,kerchunk,locate,100,4,3hr,0.002284526824951172,208,208,4,4,0,0,0,0,,
0,kerchunk,load,100,4,3hr,829.1653044223785,22723156950,571263226,3417503,1535537,0,0,0,0,,
0,pyfive,open,100,4,3hr,1.2693145275115967,2529343,1461999,710,431,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,3hr,14.110989332199097,10075198,8989258,4669,3594,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,3hr,428.5608706474304,22969266196,642765805,8484749,3937137,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,3hr,1.0296964645385742,1039334,11953,204,147,0,0,0,0,,
1,kerchunk,locate,100,4,3hr,0.004499912261962891,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,3hr,815.8175661563873,22806262347,657753024,3407878,1575735,0,0,0,0,,
1,pyfive,open,100,4,3hr,1.235346794128418,1073535,11261,206,138,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,3hr,14.250265836715698,1416609,344849,1879,1868,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,3hr,365.73852276802063,22583779480,235416454,8326126,3490494,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,3hr,0.3375113010406494,1038806,9949,194,115,0,0,0,0,,
2,kerchunk,locate,100,4,3hr,0.004223823547363281,0,0,0,0,0,0,0,0,,
2,kerchunk,load,100,4,3hr,829.6211607456207,22573852703,420553627,3382877,1503645,0,0,0,0,,
2,pyfive,open,100,4,3hr,1.241715908050537,2524467,1461084,670,455,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,3hr,13.92769479751587,17417413,16303548,7128,4978,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,3hr,373.4428346157074,22879820422,549285281,8437879,3835713,0,0,0,0,1.0,3.0
3,kerchunk,open,100,4,3hr,3.681145191192627,4993304,4294644,1668,1147,0,0,0,0,,
3,kerchunk,locate,100,4,3hr,0.0029485225677490234,0,0,0,0,0,0,0,0,,
3,kerchunk,load,100,4,3hr,817.0162525177002,22901073074,751147963,3436879,1583147,0,0,0,0,,
3,pyfive,open,100,4,3hr,1.2606053352355957,1809779,1006433,548,321,0,0,0,0,1.0,1.0
3,pyfive,locate,100,4,3hr,13.746996641159058,15950194,14162392,6403,4436,0,0,0,0,1.0,3.0
3,pyfive,load,100,4,3hr,374.28748655319214,22893102808,554503813,8472853,3738694,0,0,0,0,1.0,3.0
4,kerchunk,open,100,4,3hr,1.149576187133789,2159586,680942,507,352,0,0,0,0,,
4,kerchunk,locate,100,4,3hr,0.0029735565185546875,264,0,4,0,0,0,0,0,,
4,kerchunk,load,100,4,3hr,801.8013186454773,22502564471,359272055,3252407,1518806,0,0,0,0,,
4,pyfive,open,100,4,3hr,1.2985954284667969,1484065,422992,446,340,0,0,0,0,1.0,1.0
4,pyfive,locate,100,4,3hr,13.275528192520142,5683668,4619671,3866,3481,0,0,0,0,1.0,3.0
4,pyfive,load,100,4,3hr,366.28121733665466,22676931935,332537063,8423836,3630415,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,Amon,0.31783461570739746,40285,9034,44,32,0,0,0,0,,
0,kerchunk,locate,100,4,Amon,0.0025815963745117188,208,208,4,4,0,0,0,0,,
0,kerchunk,load,100,4,Amon,7.073441505432129,455280401,2491160,73551,36177,0,0,0,0,,
0,kerchunk,open,101,4,Amon,0.4650435447692871,1452589,13946,259,205,0,0,0,0,,
0,kerchunk,locate,101,4,Amon,0.0019903182983398438,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,Amon,60.56393241882324,419553150,14823340,130657,32008,0,0,0,0,,
0,pyfive,open,100,4,Amon,0.3960602283477783,1802734,742045,450,338,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,Amon,0.5412399768829346,27723,9169,65,60,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,Amon,8.037660598754883,462429340,6330165,158592,78263,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,Amon,0.2219223976135254,38731,4089,34,25,0,0,0,0,,
1,kerchunk,locate,100,4,Amon,0.002760648727416992,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,Amon,6.516901969909668,455986087,3129427,73919,34771,0,0,0,0,,
1,kerchunk,open,101,4,Amon,0.3587040901184082,1454469,13702,286,193,0,0,0,0,,
1,kerchunk,locate,101,4,Amon,0.0025873184204101562,0,246,0,3,0,0,0,0,,
1,kerchunk,load,101,4,Amon,59.14372515678406,647275176,15752641,157912,53245,0,0,0,0,,
1,pyfive,open,100,4,Amon,0.400860071182251,4085549,52466,704,462,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,Amon,0.5226321220397949,2252080,32483,438,282,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,Amon,8.101050615310669,562685554,9163229,181070,104477,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,Amon,0.2185351848602295,2208693,28787,374,246,0,0,0,0,,
2,kerchunk,locate,100,4,Amon,0.0026848316192626953,57944,460,10,4,0,0,0,0,,
2,kerchunk,load,100,4,Amon,6.768772840499878,532384301,3957940,88808,43051,0,0,0,0,,
2,kerchunk,open,101,4,Amon,0.36976027488708496,9486033,206493,1465,1068,0,0,0,0,,
2,kerchunk,locate,101,4,Amon,0.0018591880798339844,0,0,0,0,0,0,0,0,,
2,kerchunk,load,101,4,Amon,59.589614391326904,1178930565,20690322,251378,112164,0,0,0,0,,
2,pyfive,open,100,4,Amon,0.39835476875305176,5536625,57637,861,593,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,Amon,0.8485636711120605,7592988,812596,1371,938,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,Amon,8.245400428771973,568927622,8830255,182098,109634,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,day,5.126788854598999,632551,19096,219,163,0,0,0,0,,
0,kerchunk,locate,100,4,day,0.0025076866149902344,0,0,0,0,0,0,0,0,,
0,kerchunk,load,100,4,day,379.87788343429565,13887130581,59975385,1953373,888885,0,0,0,0,,
0,pyfive,open,100,4,day,1.0057251453399658,1073830,12485,208,154,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,day,8.081616401672363,885474,209393,1050,1029,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,day,223.49117612838745,14107634566,135303515,5290783,1985216,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,day,0.7567493915557861,627683,9882,160,114,0,0,0,0,,
1,kerchunk,locate,100,4,day,0.0029354095458984375,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,day,364.1486711502075,13881585092,60513895,1864388,897681,0,0,0,0,,
1,pyfive,open,100,4,day,0.9739720821380615,1073213,11543,198,139,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,day,7.46114706993103,1113051,442770,1228,1189,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,day,218.5453588962555,14380235104,433158393,5377145,2446486,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,day,0.2910940647125244,626611,8100,144,87,0,0,0,0,,
2,kerchunk,locate,100,4,day,0.00293731689453125,0,0,0,0,0,0,0,0,,
2,kerchunk,load,100,4,day,370.98827385902405,14335134755,508322438,2108352,1004213,0,0,0,0,,
2,pyfive,open,100,4,day,0.9092950820922852,1086191,25294,272,195,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,day,7.7522735595703125,6268723,5045112,3035,2342,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,day,218.32549834251404,14376412690,428745065,5404335,2451502,0,0,0,0,1.0,3.0
3,kerchunk,open,100,4,day,0.34121084213256836,631481,13675,184,128,0,0,0,0,,
3,kerchunk,locate,100,4,day,0.0031931400299072266,0,0,0,0,0,0,0,0,,
3,kerchunk,load,100,4,day,365.17394161224365,14131833515,307036843,2026317,971306,0,0,0,0,,
3,pyfive,open,100,4,day,0.9139270782470703,1176560,98946,521,319,0,0,0,0,1.0,1.0
3,pyfive,locate,100,4,day,7.910381078720093,4314920,3647065,3246,2826,0,0,0,0,1.0,3.0
3,pyfive,load,100,4,day,222.65293097496033,14308604837,366301103,5363746,2508792,0,0,0,0,1.0,3.0
4,kerchunk,open,100,4,day,0.3079228401184082,631376,14157,175,132,0,0,0,0,,
4,kerchunk,locate,100,4,day,0.002570629119873047,0,0,0,0,0,0,0,0,,
4,kerchunk,load,100,4,day,366.92338490486145,14168360305,343196694,2031902,973431,0,0,0,0,,
4,pyfive,open,100,4,day,0.8652186393737793,3242996,1912977,844,521,0,0,0,0,1.0,1.0
4,pyfive,locate,100,4,day,7.992473602294922,11081223,10035336,4366,3019,0,0,0,0,1.0,3.0
4,pyfive,load,100,4,day,214.4392125606537,14337628223,397667418,5378427,2545482,0,0,0,0,1.0,3.0
5,kerchunk,open,100,4,day,0.28011631965637207,1350399,731215,340,221,0,0,0,0,,
5,kerchunk,locate,100,4,day,0.002984762191772461,0,0,0,0,0,0,0,0,,
5,kerchunk,load,100,4,day,369.5767865180969,14132436673,306095936,2037979,963977,0,0,0,0,,
5,pyfive,open,100,4,day,0.8922121524810791,2203955,1137232,590,416,0,0,0,0,1.0,1.0
5,pyfive,locate,100,4,day,7.508601665496826,5965162,5280713,2879,2256,0,0,0,0,1.0,3.0
5,pyfive,load,100,4,day,223.34531331062317,14226832291,290928760,5325056,2575579,0,0,0,0,1.0,3.0
6,kerchunk,open,100,4,day,0.27117347717285156,1354114,735565,375,253,0,0,0,0,,
6,kerchunk,locate,100,4,day,0.002523660659790039,1422,1083,13,5,0,0,0,0,,
6,kerchunk,load,100,4,day,364.47098088264465,14231867980,403559718,2072085,966208,0,0,0,0,,
6,pyfive,open,100,4,day,0.9456276893615723,1077385,15003,237,167,0,0,0,0,1.0,1.0
6,pyfive,locate,100,4,day,7.239909887313843,5245276,4559952,2421,1859,0,0,0,0,1.0,3.0
6,pyfive,load,100,4,day,213.69496822357178,14297504510,358788106,5353174,2558070,0,0,0,0,1.0,3.0
7,kerchunk,open,100,4,day,0.4933590888977051,1350999,731547,377,248,0,0,0,0,,
7,kerchunk,locate,100,4,day,0.002656698226928711,0,0,0,0,0,0,0,0,,
7,kerchunk,load,100,4,day,371.56653666496277,14169553864,341909292,2060427,967942,0,0,0,0,,
7,pyfive,open,100,4,day,0.9704735279083252,2202715,1140821,612,418,0,0,0,0,1.0,1.0
7,pyfive,locate,100,4,day,8.184709310531616,5970814,5288704,2890,2270,0,0,0,0,1.0,3.0
7,pyfive,load,100,4,day,213.61184191703796,14216206286,277054707,5322156,2523721,0,0,0,0,1.0,3.0
8,kerchunk,open,100,4,day,0.31737208366394043,627441,8798,156,98,0,0,0,0,,
8,kerchunk,locate,100,4,day,0.004439115524291992,0,0,0,0,0,0,0,0,,
8,kerchunk,load,100,4,day,373.0293779373169,13885202962,61296962,1919545,909595,0,0,0,0,,
8,pyfive,open,100,4,day,0.8867788314819336,1073664,10471,205,123,0,0,0,0,1.0,1.0
8,pyfive,locate,100,4,day,7.695994138717651,884361,207366,1048,1021,0,0,0,0,1.0,3.0
8,pyfive,load,100,4,day,215.78926753997803,14107343164,165739479,5289061,2461668,0,0,0,0,1.0,3.0
9,kerchunk,open,100,4,day,1.1856276988983154,628153,8616,166,95,0,0,0,0,,
9,kerchunk,locate,100,4,day,0.0028629302978515625,0,0,0,0,0,0,0,0,,
9,kerchunk,load,100,4,day,366.0491998195648,13944200596,117055159,1925333,924258,0,0,0,0,,
9,pyfive,open,100,4,day,1.009265422821045,1074330,12231,214,151,0,0,0,0,1.0,1.0
9,pyfive,locate,100,4,day,8.573320627212524,3142723,2461896,1855,1562,0,0,0,0,1.0,3.0
9,pyfive,load,100,4,day,210.29758834838867,14302679820,357429206,5351225,2453599,0,0,0,0,1.0,3.0
0,kerchunk,open,101,4,day,3.1973772048950195,45469245,203707,4061,2983,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.001752614974975586,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,day,12773.545744419098,15705849898,3070350453,6555400,1964336,0,0,0,0,,
0,kerchunk,open,101,4,day,5.630378723144531,46954387,1690677,4770,3597,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.001932382583618164,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,day,12798.583341121674,33551459754,22124503158,11499117,5302989,0,0,0,0,,
1,kerchunk,open,101,4,day,3.080068588256836,103107071,57823271,15293,10099,0,0,0,0,,
1,kerchunk,locate,101,4,day,0.00603795051574707,430,352,6,2,0,0,0,0,,
1,kerchunk,load,101,4,day,12867.952945709229,459606680382,448927609493,81822635,57013050,0,0,0,0,,
2,kerchunk,open,101,4,day,3.2319388389587402,184742484,136021886,28758,18927,0,0,0,0,,
2,kerchunk,locate,101,4,day,0.005980730056762695,215034,392940,33,30,0,0,0,0,,
2,kerchunk,load,101,4,day,12929.908692598343,402220215451,388178281165,71783915,48595024,0,0,0,0,,
3,kerchunk,open,101,4,day,2.9588193893432617,106514385,60769521,15434,10198,0,0,0,0,,
3,kerchunk,locate,101,4,day,0.005400657653808594,216206,549202,45,37,0,0,0,0,,
3,kerchunk,load,101,4,day,12735.976186037064,341923340027,322595416920,64425755,42505627,0,0,0,0,,
4,kerchunk,open,101,4,day,3.1215264797210693,75087223,27865991,9531,6641,0,0,0,0,,
4,kerchunk,locate,101,4,day,0.005356311798095703,0,0,0,0,0,0,0,0,,
4,kerchunk,load,101,4,day,12702.467210531235,334960079644,320595460230,62885623,41792987,0,0,0,0,,
0,kerchunk,open,100,4,3hr,5.3104658126831055,97694700,91594125,16890,12441,0,0,0,0,,
0,kerchunk,locate,100,4,3hr,0.0023560523986816406,2152,85926,10,5,0,0,0,0,,
0,kerchunk,load,100,4,3hr,898.6710221767426,43129468158,20833696670,7394086,4192638,0,0,0,0,,
0,kerchunk,open,101,4,3hr,4.128653287887573,166903284,86236085,23233,15372,0,0,0,0,,
0,kerchunk,locate,101,4,3hr,0.003276824951171875,160572,252128,26,26,0,0,0,0,,
0,kerchunk,load,101,4,3hr,10807.905544281006,274475470822,252281343581,51540912,32847059,0,0,0,0,,
0,pyfive,open,100,4,3hr,1.8897783756256104,22484616,21224594,4111,2621,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,3hr,11.844382286071777,297703665,295864662,54521,37726,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,3hr,489.8314974308014,33950721186,11645721086,10509195,5680006,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,3hr,1.1369187831878662,30809420,31289947,6016,3959,0,0,0,0,,
1,kerchunk,locate,100,4,3hr,0.002376556396484375,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,3hr,860.9058394432068,42536639560,20372875303,7284721,4095279,0,0,0,0,,
1,kerchunk,open,101,4,3hr,4.5937042236328125,182909286,109232523,26314,18191,0,0,0,0,,
1,kerchunk,locate,101,4,3hr,0.0021491050720214844,270552,1386,38,21,0,0,0,0,,
1,kerchunk,load,101,4,3hr,10848.4801363945,294412464926,267062786711,55902648,35440602,0,0,0,0,,
1,pyfive,open,100,4,3hr,1.975660800933838,57570647,56377330,10140,7154,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,3hr,13.490362882614136,344369438,343672786,65212,47306,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,3hr,500.94279313087463,35745082658,12940070795,10838312,5424776,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,3hr,0.9720392227172852,28886368,26960489,5599,3900,0,0,0,0,,
2,kerchunk,locate,100,4,3hr,0.004951000213623047,0,66,0,1,0,0,0,0,,
2,kerchunk,load,100,4,3hr,854.5132129192352,43962578567,20990097937,7582503,4191670,0,0,0,0,,
2,kerchunk,open,101,4,3hr,4.594069242477417,208161559,124558975,31756,22175,0,0,0,0,,
2,kerchunk,locate,101,4,3hr,0.003161907196044922,348391,2027,33,27,0,0,0,0,,
2,kerchunk,load,101,4,3hr,10859.686297655106,331538606749,303596955482,63425211,40208816,0,0,0,0,,
2,pyfive,open,100,4,3hr,2.0034573078155518,52114057,50860803,9291,5753,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,3hr,15.473111391067505,523908589,522147786,94616,61887,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,3hr,459.14606380462646,34146358468,11798894538,10542924,5141901,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,3hr,3.955350160598755,77829894,76612219,13851,9349,0,0,0,0,,
0,kerchunk,locate,100,4,3hr,0.0025739669799804688,0,0,0,0,0,0,0,0,,
0,kerchunk,load,100,4,3hr,891.3871068954468,44907278285,22715018135,7649107,4320714,0,0,0,0,,
0,kerchunk,open,101,4,3hr,4.9125189781188965,185475328,111027495,27278,17458,0,0,0,0,,
0,kerchunk,locate,101,4,3hr,0.005965232849121094,227326,404334,51,27,0,0,0,0,,
0,kerchunk,load,101,4,3hr,10970.46495604515,294178448335,273611184389,56585143,35551109,0,0,0,0,,
0,pyfive,open,100,4,3hr,1.5182876586914062,26965469,26003699,4890,3387,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,3hr,12.89565896987915,300205560,298756244,54558,39152,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,3hr,493.55427980422974,34821862795,12502127230,10594452,5670942,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,3hr,0.8850986957550049,8341582,7136595,1518,946,0,0,0,0,,
1,kerchunk,locate,100,4,3hr,0.0053446292877197266,0,0,0,0,0,0,0,0,,
1,kerchunk,load,100,4,3hr,864.1814985275269,46032551328,23858311247,7944246,4645872,0,0,0,0,,
1,kerchunk,open,101,4,3hr,4.447477579116821,179216950,105392419,25432,18357,0,0,0,0,,
1,kerchunk,locate,101,4,3hr,0.0013394355773925781,0,0,0,0,0,0,0,0,,
1,kerchunk,load,101,4,3hr,10635.57043337822,310076839487,289680704412,56941218,36720605,0,0,0,0,,
1,pyfive,open,100,4,3hr,1.5675632953643799,47021827,46120627,8407,5713,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,3hr,12.630825519561768,350329139,348411474,63484,42625,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,3hr,480.81454825401306,35461723025,13125174434,10775197,5775290,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,3hr,0.45165562629699707,11808606,11066653,2277,1591,0,0,0,0,,
2,kerchunk,locate,100,4,3hr,0.005097389221191406,288205,512099,42,41,0,0,0,0,,
2,kerchunk,load,100,4,3hr,893.4348647594452,45885471514,23672387410,8177398,4796270,0,0,0,0,,
2,kerchunk,open,101,4,3hr,4.688162088394165,211368668,137337674,32775,21815,0,0,0,0,,
2,kerchunk,locate,101,4,3hr,0.0025110244750976562,0,0,0,0,0,0,0,0,,
2,kerchunk,load,101,4,3hr,10894.33767580986,307051456842,286192434154,58871741,38220188,0,0,0,0,,
2,pyfive,open,100,4,3hr,1.3642969131469727,44686851,43413066,8164,5785,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,3hr,13.281049013137817,392454469,390788598,73727,51817,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,3hr,496.66696095466614,36859454837,14528497342,11070635,6134114,0,0,0,0,1.0,3.0
0,kerchunk,open,100,4,day,0.5472202301025391,21526149,21202546,3903,2688,0,0,0,0,,
0,kerchunk,locate,100,4,day,0.004276752471923828,300,66,4,1,0,0,0,0,,
0,kerchunk,load,100,4,day,434.636465549469,25893880896,12023173008,4609752,2647320,0,0,0,0,,
0,kerchunk,open,101,4,day,2.7354395389556885,143738397,98166669,21722,16034,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.0022084712982177734,83670,95812,25,16,0,0,0,0,,
0,kerchunk,load,101,4,day,12685.815918207169,405525281818,392142685431,75854801,51352211,0,0,0,0,,
0,pyfive,open,100,4,day,1.1910550594329834,33331070,32136811,6104,4375,0,0,0,0,1.0,1.0
0,pyfive,locate,100,4,day,7.441032409667969,189457822,188763664,35178,25626,0,0,0,0,1.0,3.0
0,pyfive,load,100,4,day,285.45825457572937,21873736219,7920386112,6678148,3470633,0,0,0,0,1.0,3.0
1,kerchunk,open,100,4,day,0.2824535369873047,12724635,12237720,2424,1643,0,0,0,0,,
1,kerchunk,locate,100,4,day,0.004889011383056641,100330,550,35,5,0,0,0,0,,
1,kerchunk,load,100,4,day,418.4124345779419,26805374940,12936843994,4715055,2713411,0,0,0,0,,
1,kerchunk,open,101,4,day,2.6290178298950195,139468191,93777687,21162,14757,0,0,0,0,,
1,kerchunk,locate,101,4,day,0.0030088424682617188,66,115112,1,4,0,0,0,0,,
1,kerchunk,load,101,4,day,12796.333724975586,392182181130,378822619407,73379633,49658730,0,0,0,0,,
1,pyfive,open,100,4,day,1.3597619533538818,30417822,29567845,5520,3958,0,0,0,0,1.0,1.0
1,pyfive,locate,100,4,day,7.639315605163574,212629177,211752342,38864,28709,0,0,0,0,1.0,3.0
1,pyfive,load,100,4,day,272.0577733516693,21303449921,7344647784,6573027,3279624,0,0,0,0,1.0,3.0
2,kerchunk,open,100,4,day,0.5750763416290283,21871315,21187138,3986,2822,0,0,0,0,,
2,kerchunk,locate,100,4,day,0.0040094852447509766,0,0,0,0,0,0,0,0,,
2,kerchunk,load,100,4,day,409.19403076171875,25138583136,11278488499,4334792,2510712,0,0,0,0,,
2,kerchunk,open,101,4,day,2.6752967834472656,100714760,55407524,14158,10301,0,0,0,0,,
2,kerchunk,locate,101,4,day,0.002504587173461914,0,0,0,0,0,0,0,0,,
2,kerchunk,load,101,4,day,12780.82706618309,333207756720,237270185564,59289281,38085119,0,0,0,0,,
2,pyfive,open,100,4,day,1.3812658786773682,33292984,18410735,5412,3553,0,0,0,0,1.0,1.0
2,pyfive,locate,100,4,day,6.875600576400757,127937898,72934206,21530,14367,0,0,0,0,1.0,3.0
2,pyfive,load,100,4,day,277.01922631263733,20910900407,4000475276,6377250,2964857,0,0,0,0,1.0,3.0
0,kerchunk,open,101,4,3hr,5.124220371246338,209203081,83814955,28448,21257,0,0,0,0,,
0,kerchunk,locate,101,4,3hr,0.0016317367553710938,0,0,0,0,0,0,0,0,,
0,kerchunk,load,101,4,3hr,10800.978600025177,248506431152,134097270724,42283123,25928175,0,0,0,0,,
1,kerchunk,open,101,4,3hr,4.59363579750061,177712274,58739797,24624,15978,0,0,0,0,,
1,kerchunk,locate,101,4,3hr,0.005205392837524414,396336,1650,44,25,0,0,0,0,,
1,kerchunk,load,101,4,3hr,10778.733628034592,234766514179,125704212710,40141690,24083744,0,0,0,0,,
0,kerchunk,open,101,4,day,2.935359477996826,103941659,33603023,13496,9057,0,0,0,0,,
0,kerchunk,locate,101,4,day,0.004601001739501953,260714,30912,45,26,0,0,0,0,,
0,kerchunk,load,101,4,day,12759.01124215126,341986352556,319330120380,63908787,41595194,0,0,0,0,,
1,kerchunk,open,101,4,day,3.180814743041992,105182595,59621335,15239,9621,0,0,0,0,,
1,kerchunk,locate,101,4,day,0.0040509700775146484,132968,128444,26,16,0,0,0,0,,
1,kerchunk,load,101,4,day,12750.386394500732,337393469010,331287346250,66017197,43817692,0,0,0,0,,